ts_code,trade_date,open,high,low,收盘价,vol,amount,MA5,MA10,MA20,MA60
600519.SH,2026-04-01,1464.49,1469.99,1452.88,1459.44,29125.14,4256185.472,1429.328,1427.018,1424.4859999999999,
600519.SH,2026-04-02,1459.44,1464.88,1452.1,1459.88,21064.37,3071809.846,1441.068,1427.719,1427.528,
600519.SH,2026-04-03,1459.54,1469.96,1455.0,1460.0,20193.73,2953993.081,1449.864,1429.219,1430.428,
600519.SH,2026-04-07,1460.05,1470.0,1435.05,1440.02,24152.18,3507471.653,1453.868,1432.414,1432.5790000000002,
600519.SH,2026-04-08,1460.0,1469.08,1452.13,1465.02,33836.1,4947937.007,1456.8719999999998,1438.1830000000002,1435.736,
600519.SH,2026-04-09,1465.02,1465.02,1447.5,1460.49,20704.76,3012278.579,1457.0819999999999,1443.2050000000002,1438.7604999999999,
600519.SH,2026-04-10,1459.14,1459.71,1441.1,1453.96,28865.56,4187181.529,1455.898,1448.483,1441.8585,
600519.SH,2026-04-13,1444.0,1446.5,1433.0,1443.31,25213.64,3629675.49,1452.56,1451.212,1443.342,
600519.SH,2026-04-14,1442.6,1448.6,1435.0,1446.9,24232.61,3492544.23,1453.9360000000001,1453.902,1442.678,1431.6268333333333
600519.SH,2026-04-15,1444.98,1470.79,1442.0,1467.5,34553.48,5049317.187,1454.432,1455.652,1441.803,1432.3646666666668
600519.SH,2026-04-16,1467.45,1477.41,1460.0,1462.84,24512.84,3597294.838,1454.902,1455.992,1441.505,1433.2286666666666
600519.SH,2026-04-17,1400.0,1421.0,1399.87,1407.24,96824.99,13631929.446,1445.5579999999998,1450.728,1439.2234999999998,1433.3825
600519.SH,2026-04-20,1403.0,1413.94,1400.0,1410.89,36451.39,5127146.041,1439.074,1445.817,1437.518,1433.7491666666667
600519.SH,2026-04-21,1411.0,1419.9,1410.0,1412.01,21754.27,3074595.192,1432.096,1443.016,1437.715,1434.2493333333332
600519.SH,2026-04-22,1415.0,1419.0,1404.98,1409.5,26915.93,3793827.534,1420.4959999999999,1437.464,1437.8235,1434.8076666666666
600519.SH,2026-04-23,1408.0,1419.7,1405.1,1419.0,37701.09,5332831.151,1411.728,1433.315,1438.26,1435.5651666666668
600519.SH,2026-04-24,1413.1,1458.88,1413.1,1458.49,55455.31,8003410.999,1421.9779999999998,1433.768,1441.1255,1437.3556666666666
600519.SH,2026-04-27,1420.0,1420.0,1402.2,1403.2,72797.74,10239763.452,1420.44,1429.757,1440.4845,1438.408
600519.SH,2026-04-28,1402.0,1409.39,1400.11,1405.0,34004.42,4772513.712,1419.038,1425.567,1439.7345,1439.5413333333333
600519.SH,2026-04-29,1405.0,1409.75,1400.28,1401.17,34813.13,4881691.348,1417.372,1418.934,1437.2930000000001,1440.5275
600519.SH,2026-04-30,1400.0,1401.17,1380.0,1384.79,52752.67,7316111.748,1410.53,1411.129,1433.5605,1441.2238333333335
600519.SH,2026-05-06,1365.1,1379.0,1360.05,1375.0,47806.04,6550750.94,1393.8319999999999,1407.905,1429.3165000000001,1442.0790000000002
600519.SH,2026-05-07,1375.0,1388.0,1370.01,1371.05,40461.47,5573286.315,1387.4019999999998,1403.921,1424.8690000000001,1440.9678333333331
600519.SH,2026-05-08,1371.66,1382.77,1370.0,1372.99,33368.53,4582855.939,1381.0,1400.019,1421.5175,1440.501
600519.SH,2026-05-11,1372.89,1372.89,1361.0,1361.33,57135.1,7790721.392,1373.032,1395.202,1416.333,1439.4065
